S,W,T,a0,a0/W,w/b,S/W,W-a0,λ,Dmax,fc,age,GF
400,100,100,50,0.5,0.26,4,50,0,4,59.1,28,112.034
400,100,100,50,0.5,0.26,4,50,0.6,10,81.7,28,172.206
400,100,100,50,0.5,0.26,4,50,0.6,16,84.3,28,194.126
400,100,100,50,0.5,0.26,4,50,0.6,20,75.7,28,237.536
400,100,100,50,0.5,0.26,4,50,0.39,20,82.7,28,171.564
400,100,100,50,0.5,0.26,4,50,0.6,20,86.5,28,187.143
400,100,100,50,0.5,0.26,4,50,0.8,20,66.5,28,179.672
400,100,100,50,0.5,0.44,4,50,0.26,20,43.5,28,148.749
400,100,100,50,0.5,0.44,4,50,0.43,20,50.6,28,174.138
400,100,100,50,0.5,0.44,4,50,0.6,20,55.8,28,175.638
600,150,80,50,0.33,0.51,4,100,0.55,19,33.1,7,120
304.8,76.2,76.2,15.24,0.2,0.53,4,60.96,0.56,10,39.438,8,163.2218
304.8,76.2,76.2,25.15,0.33,0.53,4,51.05,0.56,10,39.438,8,157.410925
304.8,76.2,76.2,30.48,0.4,0.53,4,45.72,0.56,10,39.438,8,147.77
304.8,76.2,76.2,38.1,0.5,0.53,4,38.1,0.56,10,39.438,8,109.67845
457.2,114.3,76.2,22.86,0.2,0.53,4,91.44,0.56,10,39.438,8,164.993675
457.2,114.3,76.2,37.72,0.33,0.53,4,76.58,0.56,10,39.438,8,138.506375
457.2,114.3,76.2,45.72,0.4,0.53,4,68.58,0.56,10,39.438,8,130.757025
457.2,114.3,76.2,57.15,0.5,0.53,4,57.15,0.56,10,39.438,8,117.003775
609.6,152.4,76.2,30.48,0.2,0.53,4,121.92,0.56,10,39.438,8,140.42175
609.6,152.4,76.2,50.29,0.33,0.53,4,102.11,0.56,10,39.438,8,126.340025
609.6,152.4,76.2,60.96,0.4,0.53,4,91.44,0.56,10,39.438,8,127.90575
609.6,152.4,76.2,76.2,0.5,0.53,4,76.2,0.56,10,39.438,8,132.20375
800,100,100,50,0.5,0.3,8,50,0.55,19,74.6,28,215
800,100,100,50,0.5,0.49,8,50,0.55,19,30.1,28,165
800,100,100,50,0.5,0.31,8,50,0.56,19,79.4,28,135
800,100,100,50,0.5,0.48,8,50,0.54,19,33.1,28,130
800,100,100,50,0.5,0.3,8,50,0.56,19,61.4,28,170
800,100,100,50,0.5,0.48,8,50,0.55,19,29.6,28,140
800,100,100,50,0.5,0.3,8,50,0.56,19,60.9,28,180
800,100,100,50,0.5,0.48,8,50,0.56,19,31,28,140
800,100,100,50,0.5,0.3,8,50,0,1.25,79,28,75
800,100,100,50,0.5,0.48,8,50,0,1.25,34.6,28,55
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,116
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,120
190.5,76.2,38.1,12.73,0.17,0.31,2.5,63.47,0.54,9.5,78,70,127
381,152.4,38.1,25.45,0.17,0.31,2.5,126.95,0.54,9.5,78,70,144
762,304.8,38.1,51,0.17,0.31,2.5,253.8,0.54,9.5,78,70,150
95.25,38.1,38.1,12.7,0.33,0.3,2.5,25.4,0.55,9.5,84,70,132
190.5,76.2,38.1,25.4,0.33,0.3,2.5,50.8,0.55,9.5,84,70,170
381,152.4,38.1,50.8,0.33,0.3,2.5,101.6,0.55,9.5,84,70,183
95.25,38.1,38.1,12.7,0.33,0.3,2.5,25.4,0.55,9.5,82,70,112
190.5,76.2,38.1,25.4,0.33,0.3,2.5,50.8,0.55,9.5,82,70,168
381,152.4,38.1,50.8,0.33,0.3,2.5,101.6,0.55,9.5,82,70,208
95.25,38.1,38.1,6.36,0.17,0.3,2.5,31.74,0.55,9.5,78,70,108
190.5,76.2,38.1,12.73,0.17,0.3,2.5,63.47,0.55,9.5,78,70,123
381,152.4,38.1,25.45,0.17,0.3,2.5,126.95,0.55,9.5,78,70,135
762,304.8,38.1,51,0.17,0.3,2.5,253.8,0.55,9.5,78,70,145
95.25,38.1,38.1,6.36,0.17,0.3,2.5,31.74,0.55,9.5,88,70,140
190.5,76.2,38.1,12.73,0.17,0.3,2.5,63.47,0.55,9.5,88,70,153
381,152.4,38.1,25.45,0.17,0.3,2.5,126.95,0.55,9.5,88,70,185
762,304.8,38.1,51,0.17,0.3,2.5,253.8,0.55,9.5,88,70,219
95.25,38.1,38.1,6.36,0.17,0.25,2.5,31.74,0.58,9.5,69,70,121
190.5,76.2,38.1,12.73,0.17,0.25,2.5,63.47,0.58,9.5,69,70,127
381,152.4,38.1,25.45,0.17,0.25,2.5,126.95,0.58,9.5,69,70,146
762,304.8,38.1,51,0.17,0.25,2.5,253.8,0.58,9.5,69,70,168
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,125
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,110
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,112
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,120
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,119
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,115
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,118
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,128
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,113
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,126
460,100,100,50,0.5,0.32,4.6,50,0.63,10,81,91,82
460,100,100,50,0.5,0.32,4.6,50,0.63,10,93,91,71
460,100,100,50,0.5,0.23,4.6,50,0.63,10,103,91,61
460,100,100,50,0.5,0.23,4.6,50,0.63,10,104,91,60
460,100,100,50,0.5,0.32,4.6,50,0.63,20,91,91,73
460,100,100,50,0.5,0.32,4.6,50,0.63,20,100,91,93
460,100,100,50,0.5,0.23,4.6,50,0.63,20,115,91,75
460,100,100,50,0.5,0.23,4.6,50,0.63,20,115,91,116
460,100,100,50,0.5,0.32,4.6,50,0.63,10,85,91,114
460,100,100,50,0.5,0.32,4.6,50,0.63,10,87,91,137
460,100,100,50,0.5,0.23,4.6,50,0.63,10,102,91,105
460,100,100,50,0.5,0.23,4.6,50,0.63,10,104,91,132
1200,200,80,40,0.2,0.5,6,160,0.61,20,38.5,28,91.9
1200,200,80,60,0.3,0.5,6,140,0.61,20,38.5,28,88.7
1200,200,80,80,0.4,0.5,6,120,0.61,20,38.5,28,85.5
1200,200,80,100,0.5,0.5,6,100,0.61,20,38.5,28,63.3
1200,200,80,120,0.6,0.5,6,80,0.61,20,38.5,28,55.9
1500,240,80,24,0.1,0.5,6.3,216,0.61,20,38.5,28,110
1500,240,80,48,0.2,0.5,6.3,192,0.61,20,38.5,28,96.2
1500,240,80,72,0.3,0.5,6.3,168,0.61,20,38.5,28,88
1500,240,80,96,0.4,0.5,6.3,144,0.61,20,38.5,28,85.2
1500,240,80,120,0.5,0.5,6.3,120,0.61,20,38.5,28,69.6
1500,240,80,144,0.6,0.5,6.3,96,0.61,20,38.5,28,58.6
1800,300,80,60,0.2,0.5,6,240,0.61,20,38.5,28,95.5
1800,300,80,90,0.3,0.5,6,210,0.61,20,38.5,28,86.5
1800,300,80,120,0.4,0.5,6,180,0.61,20,38.5,28,78.1
1800,300,80,150,0.5,0.5,6,150,0.61,20,38.5,28,73.2
1800,300,80,180,0.6,0.5,6,120,0.61,20,38.5,28,59.3
1000,140,80,28,0.2,0.5,7.1,112,0.61,20,38.5,28,85
1000,140,80,42,0.3,0.5,7.1,98,0.61,20,38.5,28,81.8
1000,140,80,56,0.4,0.5,7.1,84,0.61,20,38.5,28,72.2
1000,140,80,70,0.5,0.5,7.1,70,0.61,20,38.5,28,56.1
1000,140,80,84,0.6,0.5,7.1,56,0.61,20,38.5,28,52.6
200,51,40,5.1,0.1,0.5,3.9,45.9,0.61,10,39.9,28,65.4
200,51,40,10.2,0.2,0.5,3.9,40.8,0.61,10,39.9,28,69.5
200,51,40,15.3,0.3,0.5,3.9,35.7,0.61,10,39.9,28,67.3
200,51,40,20.4,0.4,0.5,3.9,30.6,0.61,10,39.9,28,63.6
200,51,40,25.5,0.5,0.5,3.9,25.5,0.61,10,39.9,28,60.1
200,51,40,30.6,0.6,0.5,3.9,20.4,0.61,10,39.9,28,53.1
200,64,40,6.4,0.1,0.5,3.1,57.6,0.61,10,39.9,28,76.1
200,64,40,12.8,0.2,0.5,3.1,51.2,0.61,10,39.9,28,80.2
200,64,40,19.2,0.3,0.5,3.1,44.8,0.61,10,39.9,28,76.5
200,64,40,25.6,0.4,0.5,3.1,38.4,0.61,10,39.9,28,71.8
200,64,40,32,0.5,0.5,3.1,32,0.61,10,39.9,28,67.4
200,64,40,38.4,0.6,0.5,3.1,25.6,0.61,10,39.9,28,62
200,76,40,7.6,0.1,0.5,2.6,68.4,0.61,10,39.9,28,81.9
200,76,40,15.2,0.2,0.5,2.6,60.8,0.61,10,39.9,28,82.9
200,76,40,22.8,0.3,0.5,2.6,53.2,0.61,10,39.9,28,81.1
200,76,40,30.4,0.4,0.5,2.6,45.6,0.61,10,39.9,28,77.4
200,76,40,38,0.5,0.5,2.6,38,0.61,10,39.9,28,73.9
200,76,40,45.6,0.6,0.5,2.6,30.4,0.61,10,39.9,28,64.7
200,102,40,10.2,0.1,0.5,2,91.8,0.61,10,39.9,28,99
200,102,40,20.4,0.2,0.5,2,81.6,0.61,10,39.9,28,105
200,102,40,30.6,0.3,0.5,2,71.4,0.61,10,39.9,28,102
200,102,40,40.8,0.4,0.5,2,61.2,0.61,10,39.9,28,92.7
200,102,40,51,0.5,0.5,2,51,0.61,10,39.9,28,90
200,102,40,61.2,0.6,0.5,2,40.8,0.61,10,39.9,28,84.2
400,64,55,6.4,0.1,0.5,6.3,57.6,0.61,14,39.9,28,63.7
400,64,55,12.8,0.2,0.5,6.3,51.2,0.61,14,39.9,28,66.8
400,64,55,19.2,0.3,0.5,6.3,44.8,0.61,14,39.9,28,60.9
400,64,55,25.6,0.4,0.5,6.3,38.4,0.61,14,39.9,28,57.1
400,64,55,32,0.5,0.5,6.3,32,0.61,14,39.9,28,53.1
400,64,55,38.4,0.6,0.5,6.3,25.6,0.61,14,39.9,28,50.1
400,76,55,7.6,0.1,0.5,5.3,68.4,0.61,14,39.9,28,73.1
400,76,55,15.2,0.2,0.5,5.3,60.8,0.61,14,39.9,28,76.3
400,76,55,22.8,0.3,0.5,5.3,53.2,0.61,14,39.9,28,68.8
400,76,55,30.4,0.4,0.5,5.3,45.6,0.61,14,39.9,28,62.8
400,76,55,38,0.5,0.5,5.3,38,0.61,14,39.9,28,53.6
400,76,55,45.6,0.6,0.5,5.3,30.4,0.61,14,39.9,28,51.5
400,102,55,10.2,0.1,0.5,3.9,91.8,0.61,14,39.9,28,91.2
400,102,55,20.4,0.2,0.5,3.9,81.6,0.61,14,39.9,28,96.4
400,102,55,30.6,0.3,0.5,3.9,71.4,0.61,14,39.9,28,84.3
400,102,55,40.8,0.4,0.5,3.9,61.2,0.61,14,39.9,28,78.9
400,102,55,51,0.5,0.5,3.9,51,0.61,14,39.9,28,66.7
400,102,55,61.2,0.6,0.5,3.9,40.8,0.61,14,39.9,28,62.2
400,127,55,12.7,0.1,0.5,3.1,114.3,0.61,14,39.9,28,107
400,127,55,38.1,0.3,0.5,3.1,88.9,0.61,14,39.9,28,103
400,127,55,50.8,0.4,0.5,3.1,76.2,0.61,14,39.9,28,101
400,127,55,63.5,0.5,0.5,3.1,63.5,0.61,14,39.9,28,85
400,127,55,76.2,0.6,0.5,3.1,50.8,0.61,14,39.9,28,76.3
600,76,80,7.6,0.1,0.5,7.9,68.4,0.61,20,37.6,28,69.1
600,76,80,15.2,0.2,0.5,7.9,60.8,0.61,20,37.6,28,72.1
600,76,80,22.8,0.3,0.5,7.9,53.2,0.61,20,37.6,28,71.3
600,76,80,30.4,0.4,0.5,7.9,45.6,0.61,20,37.6,28,66.2
600,76,80,38,0.5,0.5,7.9,38,0.61,20,37.6,28,54.5
600,76,80,45.6,0.6,0.5,7.9,30.4,0.61,20,37.6,28,53.4
600,102,80,10.2,0.1,0.5,5.9,91.8,0.61,20,37.6,28,87.9
600,102,80,20.4,0.2,0.5,5.9,81.6,0.61,20,37.6,28,93.3
600,102,80,30.6,0.3,0.5,5.9,71.4,0.61,20,37.6,28,84.9
600,102,80,40.8,0.4,0.5,5.9,61.2,0.61,20,37.6,28,83.7
600,102,80,51,0.5,0.5,5.9,51,0.61,20,37.6,28,80.1
600,102,80,61.2,0.6,0.5,5.9,40.8,0.61,20,37.6,28,71.1
600,127,80,12.7,0.1,0.5,4.7,114.3,0.61,20,37.6,28,102
600,127,80,25.4,0.2,0.5,4.7,101.6,0.61,20,37.6,28,108
600,127,80,38.1,0.3,0.5,4.7,88.9,0.61,20,37.6,28,102
